price : 74.71 USD | variation : +0.59% | date : 1679006524193
price : 74.71 USD | variation : +0.59% | date : 1679006534319
price : 74.71 USD | variation : +0.59% | date : 1679006586077
price : 74.71 USD | variation : +0.59% | date : 1679006637061
price : 74.71 USD | variation : +0.59% | date : 1679006688079
price : 74.71 USD | variation : +0.59% | date : 1679006739030
price : 74.71 USD | variation : +0.59% | date : 1679006786755
price : 74.71 USD | variation : +0.59% | date : 1679006837787
price : 74.71 USD | variation : +0.59% | date : 1679006888670
price : 74.71 USD | variation : +0.59% | date : 1679006939737
price : 74.71 USD | variation : +0.59% | date : 1679006990768
price : 74.71 USD | variation : +0.59% | date : 1679007041823
price : 74.71 USD | variation : +0.59% | date : 1679007092795
price : 74.71 USD | variation : +0.59% | date : 1679007143753
price : 74.71 USD | variation : +0.59% | date : 1679007194823
price : 74.71 USD | variation : +0.59% | date : 1679007245693
price : 74.71 USD | variation : +0.59% | date : 1679007296666
price : 74.71 USD | variation : +0.59% | date : 1679007347462
price : 74.71 USD | variation : +0.59% | date : 1679007398378
price : 74.71 USD | variation : +0.59% | date : 1679007449539
price : 74.71 USD | variation : +0.59% | date : 1679007500573
price : 74.71 USD | variation : +0.59% | date : 1679007551668
price : 74.71 USD | variation : +0.59% | date : 1679007602750
price : 74.71 USD | variation : +0.59% | date : 1679007653854
price : 74.71 USD | variation : +0.59% | date : 1679007704811
price : 74.71 USD | variation : +0.59% | date : 1679007755842
price : 74.71 USD | variation : +0.59% | date : 1679007806838
price : 75.13 USD | variation : +0.56% | date : 1679052363826
price : 75.11 USD | variation : +0.54% | date : 1679052417026
price : 75.24 USD | variation : +0.71% | date : 1679052468158
price : 75.18 USD | variation : +0.63% | date : 1679052519645
price : 75.17 USD | variation : +0.62% | date : 1679052570729
price : 75.11 USD | variation : +0.54% | date : 1679052621798
price : 75.09 USD | variation : +0.51% | date : 1679052672871
price : 75.05 USD | variation : +0.46% | date : 1679052723997
price : 75.04 USD | variation : +0.44% | date : 1679052775094
price : 74.87 USD | variation : +0.21% | date : 1679052826443
price : 74.80 USD | variation : +0.12% | date : 1679052877795
price : 74.83 USD | variation : +0.16% | date : 1679052928986
price : 74.81 USD | variation : +0.13% | date : 1679052980036
price : 74.73 USD | variation : +0.03% | date : 1679053031167
price : 74.64 USD | variation : -0.09% | date : 1679053082992
price : 74.63 USD | variation : -0.11% | date : 1679053134014
price : 74.75 USD | variation : +0.05% | date : 1679053185001
price : 74.60 USD | variation : -0.15% | date : 1679053236004
price : 74.78 USD | variation : +0.09% | date : 1679053287021
price : 74.71 USD | variation : 0.00% | date : 1679053338025
price : 74.85 USD | variation : +0.19% | date : 1679053389160
price : 74.88 USD | variation : +0.23% | date : 1679053440399
price : 74.88 USD | variation : +0.23% | date : 1679053491445
price : 74.90 USD | variation : +0.25% | date : 1679053542472
price : 74.90 USD | variation : +0.25% | date : 1679053593378
price : 74.94 USD | variation : +0.31% | date : 1679053644550
price : 75.04 USD | variation : +0.44% | date : 1679053695623
price : 74.99 USD | variation : +0.37% | date : 1679053746636
price : 74.86 USD | variation : +0.20% | date : 1679053797995
price : 74.81 USD | variation : +0.13% | date : 1679053849028
price : 74.72 USD | variation : +0.01% | date : 1679053900724
price : 74.72 USD | variation : +0.01% | date : 1679053953034
price : 74.69 USD | variation : -0.03% | date : 1679054004067
price : 74.70 USD | variation : -0.01% | date : 1679054054967
price : 74.82 USD | variation : +0.15% | date : 1679054105993
price : 74.82 USD | variation : +0.15% | date : 1679054156992
price : 74.93 USD | variation : +0.29% | date : 1679054207868
price : 74.94 USD | variation : +0.31% | date : 1679054258860
price : 74.97 USD | variation : +0.35% | date : 1679054309833
price : 75.01 USD | variation : +0.40% | date : 1679054360635
price : 74.98 USD | variation : +0.36% | date : 1679054412577
price : 75.05 USD | variation : +0.46% | date : 1679054463611
price : 74.97 USD | variation : +0.35% | date : 1679054514827
price : 74.93 USD | variation : +0.29% | date : 1679054565822
price : 74.96 USD | variation : +0.33% | date : 1679054617139
price : 75.02 USD | variation : +0.41% | date : 1679054668171
price : 75.07 USD | variation : +0.48% | date : 1679054719142
price : 75.08 USD | variation : +0.50% | date : 1679054770272
price : 75.11 USD | variation : +0.54% | date : 1679054821310
price : 74.99 USD | variation : +0.37% | date : 1679054901731
price : 75.10 USD | variation : +0.52% | date : 1679054952688
price : 75.06 USD | variation : +0.47% | date : 1679055004716
price : 75.05 USD | variation : +0.46% | date : 1679055055698
price : 74.92 USD | variation : +0.28% | date : 1679055176273
price : 74.74 USD | variation : +0.04% | date : 1679056779881
price : 72.59 USD | variation : -2.84% | date : 1679065608983





price : 72.47 USD | variation : -3.00% | date : 1679106632560
price : 72.47 USD | variation : -3.00% | date : 1679106689302
price : 72.47 USD | variation : -3.00% | date : 1679107596186
price : 72.47 USD | variation : -3.00% | date : 1679107647156




price : 72.47 USD | variation : -3.00% | date : 1679140313095
price : 72.47 USD | variation : -3.00% | date : 1679140364468
price : 72.47 USD | variation : -3.00% | date : 1679140415507
price : 72.47 USD | variation : -3.00% | date : 1679140466434
price : 72.47 USD | variation : -3.00% | date : 1679140598442

price : 72.47 USD | variation : -3.00% | date : 1679147542996
price : 72.47 USD | variation : -3.00% | date : 1679154920748
price : 72.47 USD | variation : -3.00% | date : 1679157192127
price : 72.47 USD | variation : -3.00% | date : 1679157243112
price : 72.47 USD | variation : -3.00% | date : 1679157294143
price : 72.47 USD | variation : -3.00% | date : 1679157345098
price : 72.47 USD | variation : -3.00% | date : 1679157396119
price : 72.47 USD | variation : -3.00% | date : 1679157447088
price : 72.47 USD | variation : -3.00% | date : 1679157498041
price : 72.47 USD | variation : -3.00% | date : 1679157549023
price : 72.47 USD | variation : -3.00% | date : 1679157600032
price : 72.47 USD | variation : -3.00% | date : 1679157651140
price : 72.47 USD | variation : -3.00% | date : 1679157702257
price : 72.47 USD | variation : -3.00% | date : 1679157753709
price : 72.47 USD | variation : -3.00% | date : 1679157805021
price : 72.47 USD | variation : -3.00% | date : 1679157856338
price : 72.47 USD | variation : -3.00% | date : 1679157907405
price : 72.47 USD | variation : -3.00% | date : 1679157958462
price : 72.47 USD | variation : -3.00% | date : 1679158009407
price : 72.47 USD | variation : -3.00% | date : 1679158060536
price : 72.47 USD | variation : -3.00% | date : 1679158113147
price : 72.47 USD | variation : -3.00% | date : 1679158164105
price : 72.47 USD | variation : -3.00% | date : 1679158215060
price : 72.47 USD | variation : -3.00% | date : 1679158266035
price : 72.47 USD | variation : -3.00% | date : 1679158317038
price : 72.47 USD | variation : -3.00% | date : 1679158368168
price : 72.47 USD | variation : -3.00% | date : 1679158419246
price : 72.47 USD | variation : -3.00% | date : 1679158470331
price : 72.47 USD | variation : -3.00% | date : 1679158521988
price : 72.47 USD | variation : -3.00% | date : 1679158574378
price : 72.47 USD | variation : -3.00% | date : 1679158625432
price : 72.47 USD | variation : -3.00% | date : 1679158676525
price : 72.47 USD | variation : -3.00% | date : 1679158727773
price : 72.47 USD | variation : -3.00% | date : 1679158778972
price : 72.47 USD | variation : -3.00% | date : 1679158830253
price : 72.47 USD | variation : -3.00% | date : 1679158881420
price : 72.47 USD | variation : -3.00% | date : 1679158932424
price : 72.47 USD | variation : -3.00% | date : 1679158983438
price : 72.47 USD | variation : -3.00% | date : 1679159034435
price : 72.47 USD | variation : -3.00% | date : 1679159085432
price : 72.47 USD | variation : -3.00% | date : 1679159136464
price : 72.47 USD | variation : -3.00% | date : 1679159187457
price : 72.47 USD | variation : -3.00% | date : 1679159238456
price : 72.47 USD | variation : -3.00% | date : 1679159289480
price : 72.47 USD | variation : -3.00% | date : 1679159340429
price : 72.47 USD | variation : -3.00% | date : 1679159391427
price : 72.47 USD | variation : -3.00% | date : 1679159442397
price : 72.47 USD | variation : -3.00% | date : 1679159493422
price : 72.47 USD | variation : -3.00% | date : 1679159544411
price : 72.47 USD | variation : -3.00% | date : 1679159595552
price : 72.47 USD | variation : -3.00% | date : 1679159647867
price : 72.47 USD | variation : -3.00% | date : 1679159699242
price : 72.47 USD | variation : -3.00% | date : 1679159750304
price : 72.47 USD | variation : -3.00% | date : 1679159801372
price : 72.47 USD | variation : -3.00% | date : 1679159852378
price : 72.47 USD | variation : -3.00% | date : 1679159903342
price : 72.47 USD | variation : -3.00% | date : 1679159954318
price : 72.47 USD | variation : -3.00% | date : 1679160005334
price : 72.47 USD | variation : -3.00% | date : 1679160056390
price : 72.47 USD | variation : -3.00% | date : 1679160107589
price : 72.47 USD | variation : -3.00% | date : 1679160158644
price : 72.47 USD | variation : -3.00% | date : 1679160209629
price : 72.47 USD | variation : -3.00% | date : 1679160260609
price : 72.47 USD | variation : -3.00% | date : 1679160311549
price : 72.47 USD | variation : -3.00% | date : 1679160362525
price : 72.47 USD | variation : -3.00% | date : 1679160413502
price : 72.47 USD | variation : -3.00% | date : 1679160464479
price : 72.47 USD | variation : -3.00% | date : 1679160515471
price : 72.47 USD | variation : -3.00% | date : 1679160566556
price : 72.47 USD | variation : -3.00% | date : 1679160617741
price : 72.47 USD | variation : -3.00% | date : 1679160672096
price : 72.47 USD | variation : -3.00% | date : 1679160723174
price : 72.47 USD | variation : -3.00% | date : 1679160774383
price : 72.47 USD | variation : -3.00% | date : 1679160825411
price : 72.47 USD | variation : -3.00% | date : 1679160876440
price : 72.47 USD | variation : -3.00% | date : 1679160927466
price : 72.47 USD | variation : -3.00% | date : 1679160978413
price : 72.47 USD | variation : -3.00% | date : 1679161029536
price : 72.47 USD | variation : -3.00% | date : 1679161080506
price : 72.47 USD | variation : -3.00% | date : 1679161131518
price : 72.47 USD | variation : -3.00% | date : 1679161182489
price : 72.47 USD | variation : -3.00% | date : 1679161233553
price : 72.47 USD | variation : -3.00% | date : 1679161284627
price : 72.47 USD | variation : -3.00% | date : 1679161335637
price : 72.47 USD | variation : -3.00% | date : 1679161386559
price : 72.47 USD | variation : -3.00% | date : 1679161437660
price : 72.47 USD | variation : -3.00% | date : 1679161488714
price : 72.47 USD | variation : -3.00% | date : 1679161543567
price : 72.47 USD | variation : -3.00% | date : 1679161596716
price : 72.47 USD | variation : -3.00% | date : 1679161647755
price : 72.47 USD | variation : -3.00% | date : 1679161698880
price : 72.47 USD | variation : -3.00% | date : 1679161749925
price : 72.47 USD | variation : -3.00% | date : 1679161801043
price : 72.47 USD | variation : -3.00% | date : 1679161852121
price : 72.47 USD | variation : -3.00% | date : 1679161903150
price : 72.47 USD | variation : -3.00% | date : 1679161954188
price : 72.47 USD | variation : -3.00% | date : 1679162005215
price : 72.47 USD | variation : -3.00% | date : 1679162056276
price : 72.47 USD | variation : -3.00% | date : 1679162107309
price : 72.47 USD | variation : -3.00% | date : 1679162158368
price : 72.47 USD | variation : -3.00% | date : 1679162209434
price : 72.47 USD | variation : -3.00% | date : 1679162260544
price : 72.47 USD | variation : -3.00% | date : 1679162312703
price : 72.47 USD | variation : -3.00% | date : 1679162363805
price : 72.47 USD | variation : -3.00% | date : 1679162414975
price : 72.47 USD | variation : -3.00% | date : 1679162466137
price : 72.47 USD | variation : -3.00% | date : 1679162517211
price : 72.47 USD | variation : -3.00% | date : 1679162568304
price : 72.47 USD | variation : -3.00% | date : 1679162619363
price : 72.47 USD | variation : -3.00% | date : 1679162670399
price : 72.47 USD | variation : -3.00% | date : 1679162721458
price : 72.47 USD | variation : -3.00% | date : 1679162772589
price : 72.47 USD | variation : -3.00% | date : 1679162823605
price : 72.47 USD | variation : -3.00% | date : 1679162874627
price : 72.47 USD | variation : -3.00% | date : 1679162925812
price : 72.47 USD | variation : -3.00% | date : 1679162978909
price : 72.47 USD | variation : -3.00% | date : 1679163030041
price : 72.47 USD | variation : -3.00% | date : 1679163081044
price : 72.47 USD | variation : -3.00% | date : 1679163132059
price : 72.47 USD | variation : -3.00% | date : 1679163183042
price : 72.47 USD | variation : -3.00% | date : 1679163234002
price : 72.47 USD | variation : -3.00% | date : 1679163284893



price : 72.47 USD | variation : -3.00% | date : 1679183372260
price : 72.47 USD | variation : -3.00% | date : 1679183423561
price : 72.47 USD | variation : -3.00% | date : 1679183474620
price : 72.47 USD | variation : -3.00% | date : 1679183525822
price : 72.47 USD | variation : -3.00% | date : 1679183576737
price : 72.47 USD | variation : -3.00% | date : 1679183629019
price : 72.47 USD | variation : -3.00% | date : 1679183679981
price : 72.47 USD | variation : -3.00% | date : 1679183730973
price : 72.47 USD | variation : -3.00% | date : 1679183781941
price : 72.47 USD | variation : -3.00% | date : 1679183833888
price : 72.47 USD | variation : -3.00% | date : 1679183899628
price : 72.47 USD | variation : -3.00% | date : 1679183950652
price : 72.47 USD | variation : -3.00% | date : 1679184001660
price : 72.47 USD | variation : -3.00% | date : 1679184052937

price : 72.47 USD | variation : -3.00% | date : 1679187293582
price : 72.47 USD | variation : -3.00% | date : 1679187344544
price : 72.47 USD | variation : -3.00% | date : 1679187395601
